Variable,Min,Max,Mean,Shape,Graphs
variable_9878,108060225.03221744,108060225.03221744,108060225.03221744,"(1,)",graph
variable_9879,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9880,-40522584.38708154,108276561.602299,2135844.040449708,"(12, 12)",graph
variable_9881,108276561.602299,108276561.602299,108276561.602299,"(1,)",graph
variable_9882,-0.003138451060936203,-0.003138451060936203,-0.003138451060936203,"(1,)",graph
variable_9883,69000000000.0,69000000000.0,69000000000.0,"(1,)",graph
variable_9884,-216553123.204598,-216553123.204598,-216553123.204598,"(1,)",graph
variable_9885,-108276561.602299,-108276561.602299,-108276561.602299,"(1,)",graph
variable_9886,-108276561.602299,108276561.602299,1383923.4737670762,"(12, 12)",graph
variable_9887,-0.003138451060936203,-0.003138451060936203,-0.003138451060936203,"(1,)",graph
variable_9888,69000000000.0,69000000000.0,69000000000.0,"(1,)",graph
variable_9889,-216553123.204598,-216553123.204598,-216553123.204598,"(1,)",graph
variable_9890,-108276561.602299,-108276561.602299,-108276561.602299,"(1,)",graph
variable_9891,-108276561.602299,108276561.602299,1383923.4737670762,"(12, 12)",graph
variable_9892,108276561.602299,108276561.602299,108276561.602299,"(1,)",graph
variable_9893,-828000000000.0,-828000000000.0,-828000000000.0,"(1,)",graph
variable_9894,-324180675.0966523,-324180675.0966523,-324180675.0966523,"(1,)",graph
variable_9895,3.0,3.0,3.0,"(1,)",graph
variable_9896,8.0,8.0,8.0,"(1,)",graph
variable_9897,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9898,-108276561.602299,108276561.602299,1102516.6377456766,"(12, 12)",graph
variable_9899,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9900,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9901,2.0,2.0,2.0,"(1,)",graph
variable_9902,4.0,4.0,4.0,"(1,)",graph
variable_9903,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9904,-108276561.602299,108276561.602299,1383923.4737670762,"(12, 12)",graph
variable_9905,-828000000000.0,-828000000000.0,-828000000000.0,"(1,)",graph
variable_9906,-324180675.0966523,-324180675.0966523,-324180675.0966523,"(1,)",graph
variable_9907,3.0,3.0,3.0,"(1,)",graph
variable_9908,8.0,8.0,8.0,"(1,)",graph
variable_9909,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9910,-108276561.602299,108276561.602299,1102516.6377456768,"(12, 12)",graph
variable_9911,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9912,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9913,2.0,2.0,2.0,"(1,)",graph
variable_9914,4.0,4.0,4.0,"(1,)",graph
variable_9915,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9916,-108276561.602299,108276561.602299,821109.801724277,"(12, 12)",graph
variable_9917,-26000000000.0,-26000000000.0,-26000000000.0,"(1,)",graph
variable_9918,-20359172.83215691,-20359172.83215691,-20359172.83215691,"(1,)",graph
variable_9919,-10179586.416078456,-10179586.416078456,-10179586.416078456,"(1,)",graph
variable_9920,-108276561.602299,108276561.602299,750418.229390399,"(12, 12)",graph
variable_9921,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9922,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9923,2.0,2.0,2.0,"(1,)",graph
